offre_id,offre_found,n_candidat_skills,n_offre_skills,n_acquises,n_manquantes,n_essentielles_manquantes,taux_match_neo4j,competences_acquises,competences_manquantes,titre_poste
OFFRE_000001_245b92f2f41f,True,6,1,0,1,1,0.0,[],['nager'],Aide Comptable
OFFRE_000002_c336c1856666,True,6,0,0,0,0,0.0,[],[],Caissier Service Comptable
OFFRE_000003_ed19a16f7e78,True,6,0,0,0,0,0.0,[],[],Aquaculteur
OFFRE_000004_fa9c78153738,True,6,6,0,6,6,0.0,[],"['résoudre des cas complexes d’imputation comptable', 'gérer un service comptable', 'réaliser le bilan comptable journalier', 'rédiger des procédures comptables', 'principes comptables nationaux généralement admis', 'assurer la conformité aux conventions comptables']",Comptable
OFFRE_000005_b6c8e5a888c8,True,6,0,0,0,0,0.0,[],[],Agent Commercial
OFFRE_000006_4191c3ab002f,True,6,6,0,6,6,0.0,[],"['électromécanique', 'modéliser des systèmes électromécaniques', 'étalonner un système électromécanique', 'électricité', 'mécatronique', 'mécanique']",Electromécanicien
OFFRE_000007_e73e318c92e8,True,6,0,0,0,0,0.0,[],[],Analyste Financier
OFFRE_000008_91c56b9d62ac,True,6,0,0,0,0,0.0,[],[],Ingénieur informaticien
OFFRE_000009_1da3f00aa522,True,6,6,0,6,6,0.0,[],"['comprendre le macédonien écrit', 'comprendre le serbe écrit', 'comprendre le latin écrit', 'comprendre le marathi écrit', 'comprendre le hongrois écrit', 'comprendre le russe écrit']",Community Manager
OFFRE_000010_4d80b58a7419,True,6,6,0,6,6,0.0,[],"['comprendre le macédonien écrit', 'comprendre le serbe écrit', 'comprendre le latin écrit', 'comprendre le marathi écrit', 'comprendre le hongrois écrit', 'comprendre le russe écrit']",Cadre en Informatique
OFFRE_000011_4782619e6331,True,6,6,0,6,6,0.0,[],"['comprendre le macédonien écrit', 'comprendre le serbe écrit', 'comprendre le latin écrit', 'comprendre le marathi écrit', 'comprendre le hongrois écrit', 'comprendre le russe écrit']",Cadre comptable
OFFRE_000012_feb4e5a8079d,True,6,6,0,6,6,0.0,[],"['comprendre le macédonien écrit', 'comprendre le serbe écrit', 'comprendre le latin écrit', 'comprendre le marathi écrit', 'comprendre le hongrois écrit', 'comprendre le russe écrit']",Cadre Commercial
OFFRE_000013_89731bfec241,True,6,6,0,6,6,0.0,[],"['comprendre le macédonien écrit', 'comprendre le serbe écrit', 'comprendre le latin écrit', 'comprendre le marathi écrit', 'comprendre le hongrois écrit', 'comprendre le russe écrit']",Conducteur d'engins de manutention
OFFRE_000014_aa633a213e11,True,6,6,0,6,6,0.0,[],"['comprendre le macédonien écrit', 'comprendre le serbe écrit', 'comprendre le latin écrit', 'comprendre le marathi écrit', 'comprendre le hongrois écrit', 'comprendre le russe écrit']","Cadre Sécurité, Hygiène et Environnement"
OFFRE_000015_8c221553b225,True,6,0,0,0,0,0.0,[],[],Agent de comptoir
