query_id,family,contrast_type,pseudo_label_accept,question,answer,faithfulness,evidence_coverage,unsupported_terms
metier_000,metier_competences,true_context,1,Quelles competences sont associees au metier médecin spécialiste ?,"Pour le metier médecin spécialiste, Neo4j relie 178 competences. Les preuves recuperees citent notamment : rédiger des documents scientifiques ou articles universitaires et des documents techniques, gérer les infections nosocomiales, opérer des patients atteints d’affections thoraciques, gérer le budget d’une unité de soins, gérer des données de recherche.",0.7931,0.697,"[""citent"", ""neo4j"", ""notamment"", ""preuves"", ""recuperees"", ""relie""]"
metier_000,metier_competences,shuffled_context,0,Quelles competences sont associees au metier médecin spécialiste ?,"Pour le metier médecin spécialiste, Neo4j relie 178 competences. Les preuves recuperees citent notamment : rédiger des documents scientifiques ou articles universitaires et des documents techniques, gérer les infections nosocomiales, opérer des patients atteints d’affections thoraciques, gérer le budget d’une unité de soins, gérer des données de recherche.",0.0,0.0,"[""affections"", ""articles"", ""atteints"", ""budget"", ""citent"", ""competences"", ""documents"", ""données"", ""gérer"", ""infections"", ""metier"", ""médecin"", ""neo4j"", ""nosocomiales"", ""notamment""]"
metier_001,metier_competences,true_context,1,Quelles competences sont associees au metier opérateur sur machine à commande numérique par ordinateur/ opératrice sur machine à commande numérique par ordinateur ?,"Pour le metier opérateur sur machine à commande numérique par ordinateur/ opératrice sur machine à commande numérique par ordinateur, Neo4j relie 158 competences. Les preuves recuperees citent notamment : Haskell, utiliser un appareil de soudage par faisceau d’électrons, Erlang, SAS language, pièces de machines de soudage par faisceau d’électrons.",0.75,0.5806,"[""citent"", ""neo4j"", ""notamment"", ""preuves"", ""recuperees"", ""relie""]"
metier_001,metier_competences,shuffled_context,0,Quelles competences sont associees au metier opérateur sur machine à commande numérique par ordinateur/ opératrice sur machine à commande numérique par ordinateur ?,"Pour le metier opérateur sur machine à commande numérique par ordinateur/ opératrice sur machine à commande numérique par ordinateur, Neo4j relie 158 competences. Les preuves recuperees citent notamment : Haskell, utiliser un appareil de soudage par faisceau d’électrons, Erlang, SAS language, pièces de machines de soudage par faisceau d’électrons.",0.0833,0.0588,"[""appareil"", ""citent"", ""commande"", ""erlang"", ""faisceau"", ""haskell"", ""language"", ""machine"", ""machines"", ""neo4j"", ""notamment"", ""numérique"", ""opérateur"", ""opératrice"", ""ordinateur""]"
metier_002,metier_competences,true_context,1,Quelles competences sont associees au metier enseignant-chercheur en informatique/enseignante-chercheuse en informatique ?,"Pour le metier enseignant-chercheur en informatique/enseignante-chercheuse en informatique, Neo4j relie 140 competences. Les preuves recuperees citent notamment : Haskell, rédiger des documents scientifiques ou articles universitaires et des documents techniques, développement par incréments, Erlang, SAS language.",0.7273,0.5517,"[""citent"", ""neo4j"", ""notamment"", ""preuves"", ""recuperees"", ""relie""]"
metier_002,metier_competences,shuffled_context,0,Quelles competences sont associees au metier enseignant-chercheur en informatique/enseignante-chercheuse en informatique ?,"Pour le metier enseignant-chercheur en informatique/enseignante-chercheuse en informatique, Neo4j relie 140 competences. Les preuves recuperees citent notamment : Haskell, rédiger des documents scientifiques ou articles universitaires et des documents techniques, développement par incréments, Erlang, SAS language.",0.0,0.0,"[""articles"", ""citent"", ""competences"", ""documents"", ""développement"", ""enseignant-chercheur"", ""enseignante-chercheuse"", ""erlang"", ""haskell"", ""incréments"", ""informatique"", ""language"", ""metier"", ""neo4j"", ""notamment""]"
metier_003,metier_competences,true_context,1,Quelles competences sont associees au metier ingénieur en technologie alimentaire/ingénieure en technologie alimentaire ?,"Pour le metier ingénieur en technologie alimentaire/ingénieure en technologie alimentaire, Neo4j relie 139 competences. Les preuves recuperees citent notamment : gérer les stocks dans des laboratoires d’analyse alimentaire, inspecter les systèmes de silos, élaborer de nouveaux produits alimentaires, participer à la conception d’unités de production dans l’industrie alimentaire, proposer des formations sur la supervision de la gestion de la qualité.",0.8182,0.7105,"[""citent"", ""neo4j"", ""notamment"", ""preuves"", ""recuperees"", ""relie""]"
metier_003,metier_competences,shuffled_context,0,Quelles competences sont associees au metier ingénieur en technologie alimentaire/ingénieure en technologie alimentaire ?,"Pour le metier ingénieur en technologie alimentaire/ingénieure en technologie alimentaire, Neo4j relie 139 competences. Les preuves recuperees citent notamment : gérer les stocks dans des laboratoires d’analyse alimentaire, inspecter les systèmes de silos, élaborer de nouveaux produits alimentaires, participer à la conception d’unités de production dans l’industrie alimentaire, proposer des formations sur la supervision de la gestion de la qualité.",0.0,0.0,"[""alimentaire"", ""alimentaires"", ""analyse"", ""citent"", ""competences"", ""conception"", ""formations"", ""gestion"", ""gérer"", ""industrie"", ""ingénieur"", ""ingénieure"", ""inspecter"", ""laboratoires"", ""metier""]"
metier_004,metier_competences,true_context,1,Quelles competences sont associees au metier ingénieur en motopropulsion/ingénieure en motopropulsion ?,"Pour le metier ingénieur en motopropulsion/ingénieure en motopropulsion, Neo4j relie 137 competences. Les preuves recuperees citent notamment : concevoir des systèmes électriques, préparer la garniture d’un véhicule, cycle de développement logiciel, calibrer des moteurs, applications de freinage d'une locomotive.",0.7692,0.625,"[""citent"", ""neo4j"", ""notamment"", ""preuves"", ""recuperees"", ""relie""]"
metier_004,metier_competences,shuffled_context,0,Quelles competences sont associees au metier ingénieur en motopropulsion/ingénieure en motopropulsion ?,"Pour le metier ingénieur en motopropulsion/ingénieure en motopropulsion, Neo4j relie 137 competences. Les preuves recuperees citent notamment : concevoir des systèmes électriques, préparer la garniture d’un véhicule, cycle de développement logiciel, calibrer des moteurs, applications de freinage d'une locomotive.",0.0,0.0,"[""applications"", ""calibrer"", ""citent"", ""competences"", ""concevoir"", ""cycle"", ""d'une"", ""développement"", ""freinage"", ""garniture"", ""ingénieur"", ""ingénieure"", ""locomotive"", ""logiciel"", ""metier""]"
