ville,n,part
Yaoundé,4049,0.5151
Cameroun (Ville Non Précisée),1800,0.229
Douala,671,0.0854
Bafoussam,319,0.0406
Maroua,276,0.0351
Garoua,184,0.0234
Bamenda,100,0.0127
Kribi,99,0.0126
Buéa,91,0.0116
Poli,30,0.0038
Douala - Yaoundé,28,0.0036
International,26,0.0033
Cameroun,26,0.0033
Bertoua,25,0.0032
Yaoundé - International,19,0.0024
Kousseri,13,0.0017
À L’Étranger,9,0.0011
Mambele,8,0.001
Ebolowa,6,0.0008
Bafoussam - Douala - Yaoundé,5,0.0006
Batouri,5,0.0006
Yokadouma,5,0.0006
Campo,5,0.0006
Douala - International,4,0.0005
Ngaoundéré,4,0.0005
Bafang,4,0.0005
Ndokoa,4,0.0005
Limbé,3,0.0004
Adamaoua,3,0.0004
Faro,3,0.0004
Ambam,2,0.0003
Nomayos,2,0.0003
Banganté,2,0.0003
Bangangté,2,0.0003
Guider,1,0.0001
Edéa,1,0.0001
Bafoussam - Bamenda - Bertoua - Douala - Ebolowa - Garoua - Maroua,1,0.0001
Douala - Ebolowa - Yaoundé,1,0.0001
Bafoussam - Bertoua - Buéa - Douala - Ebolowa - Yaoundé,1,0.0001
Douala - Ebolowa - Yaoundé - International,1,0.0001
Bertoua - Douala - Garoua - Yaoundé,1,0.0001
Bafoussam - Bertoua - Douala - Ebolowa - Garoua - Maroua - Ngaoundéré - Yaoundé,1,0.0001
Bertoua - Douala - Garoua - Maroua - Yaoundé,1,0.0001
Bafoussam - Douala - Ebolowa - Yaoundé,1,0.0001
Buéa - Douala - Yaoundé,1,0.0001
Douala - Garoua - Maroua - Yaoundé,1,0.0001
Bertoua - Yaoundé,1,0.0001
Bafoussam - Bamenda - Buéa - Douala - Ebolowa - Garoua - Maroua - Yaoundé,1,0.0001
Bafoussam - Bamenda - Bertoua - Buéa - Douala - Ebolowa - Garoua - Maroua - Ngaoundéré - Yaoundé,1,0.0001
Douala - Garoua,1,0.0001
Bafoussam - Bamenda - Bertoua - Buéa - Douala - Garoua - Maroua - Ngaoundéré - Yaoundé,1,0.0001
Bafoussam - Yaoundé,1,0.0001
Dschang,1,0.0001
Djohung,1,0.0001
Foumban,1,0.0001
Abong-Mbang,1,0.0001
Doumé,1,0.0001
Fotokol,1,0.0001
Figuil,1,0.0001
Mbankomo,1,0.0001
Bafia,1,0.0001
Extreme-Nord,1,0.0001
Mbalmayo,1,0.0001
