community_id,n_nodes,dominant_label,labels_resume,competences_exemples
0,682,Métier,Métier:345; Compétence:282; GroupeBaseMEPC:46; OffreEmploi:4; Candidat:4,réparer des appareils électroménagers; organiser le travail par équipe; utiliser une rectifieuse à commande numérique; relever un compteur de gaz; utiliser des instruments de mesure; diriger des inspections; composants d’articles en cuir; documentation concernant la production de viandes
1,553,Candidat,Candidat:258; OffreEmploi:193; Compétence:69; Métier:12; Secteur:11,surveiller la gestion d’une marque; utiliser un système de communication complexe; activités bancaires; droit des affaires; mettre en œuvre des systèmes de gestion de la qualité; donner des conseils en finance; utiliser des dispositifs de communication; vérifier les fonctions de communication d’une attraction
2,521,Métier,Métier:264; Compétence:218; GroupeBaseMEPC:33; OffreEmploi:5; Candidat:1,conduire des machines agricoles; Élaborer des stratégies la passation de marchés publics dans le domaine de l’innovation; organiser des cérémonies gouvernementales; entretenir des relations avec les organismes gouvernementaux; comparer les offres des soumissionnaires; déterminer les bénéfices pour la santé des changements d’alimentation; coordonner des événements; vendre des appareils ménagers
3,379,Candidat,Candidat:325; OffreEmploi:34; Compétence:15; NiveauFormationNCF:3; Secteur:1,législation sur le transport routier; véhicules de transport pour chevaux; mettre en œuvre des plans d’efficacité des opérations logistiques; coordonner le transport; gérer les systèmes de tarification de la logistique; coordonner les opérations de transport routier; gérer la logistique électronique de matériel de sonorisation; logistique verte
4,292,Compétence,Compétence:131; Métier:128; Candidat:16; GroupeBaseMEPC:11; OffreEmploi:5,participer à des activités de médiation artistique; informer le personnel sur la radioprotection; élaborer une stratégie de traduction; négocier des droits d'exploitation; superviser des enfants; fournir des informations avant un traitement; orthographe; s'adapter au type de média
5,290,Candidat,Candidat:258; OffreEmploi:21; Compétence:9; Localisation:1; Secteur:1,industrie de l’aquaculture; industrie de l'habillement; plateformes d’aide en ligne; industrie cosmétique; industrie de la musique et de la vidéo; délibérer avec un monteur de son; se tenir informé des tendances dans l’industrie du design; hygiène et sécurité dans l’industrie textile
6,261,Candidat,Candidat:236; Compétence:15; OffreEmploi:8; Métier:1; NiveauFormationNCF:1,"génie civil; concevoir un puits de production pétrolière; examiner des ouvrages de génie civil; nettoyer la façade d’un bâtiment; établir un plan d’étanchéité à l’air du bâtiment; engins d'exploitation minière, de construction et de génie civil; effectuer des travaux de maçonnerie dans des jardins; conception de bâtiments durables"
7,250,Compétence,Compétence:124; Métier:114; GroupeBaseMEPC:9; OffreEmploi:3,mener une analyse de contrôle qualité; gérer une classe; coopérer avec des professionnels de l’enseignement; communiquer des résultats scientifiques; aider des étudiants à utiliser le matériel; déceler des troubles de l’apprentissage; analyser un système éducatif; réfléchir de manière abstraite
8,236,Candidat,Candidat:147; OffreEmploi:59; Compétence:25; Secteur:4; NiveauFormationNCF:1,vendre du bois transformé dans un environnement commercial; droit douanier; motiver le personnel pour atteindre les objectifs de vente; planifier des campagnes de marketing sur les médias sociaux; glossaire de l’habillement commercial; droit pharmaceutique; exécuter un plan de marketing; organiser des événements d’échantillonnage sur des points de vente au détail
9,182,Candidat,Candidat:107; OffreEmploi:52; Compétence:18; Localisation:3; Secteur:2,gérer les ressources humaines; méthodes de conseil; gérer l’administration d’un établissement d’enseignement; gérer l’administration du personnel; gérer l’administration des prêts; embaucher des ressources humaines; déterminer les ressources humaines nécessaires; fournir un conseil pharmaceutique
10,181,Candidat,Candidat:135; OffreEmploi:30; Compétence:13; NiveauFormationNCF:1; Métier:1,fibre optique; génie informatique; supprimer un virus informatique ou un logiciel malveillant d’un ordinateur; matériel informatique; apporter un soutien en génie pétrolier; avoir des connaissances en informatique; négocier des droits d'édition; optique
11,144,Candidat,Candidat:114; OffreEmploi:17; Compétence:12; Secteur:1,assurer la sécurité de machines; risques pour la santé et la sécurité dans les travaux souterrains; mettre en place des protocoles de sécurité sur un site; entretenir un environnement d’entraînement; principes de sécurité en équitation; maintenir la qualité de l’eau en aquaculture; fixer des dispositifs de sécurité; organiser un environnement sportif
12,128,Candidat,Candidat:76; Compétence:24; Métier:14; OffreEmploi:9; GroupeBaseMEPC:4,créer des cadres pour des meubles; utiliser un microscope; assurer la conformité avec des spécifications de conception d’un bijou; consigner le temps de transformation d’un bijou; estimer les coûts de restauration; relier des éléments en bois; créer des modèles de bijoux; évaluer des procédures de restauration
13,102,OffreEmploi,OffreEmploi:75; Compétence:20; Secteur:4; Candidat:2; Localisation:1,industrie des télécommunications; réglementation en matière de télécommunications; assurer la distribution d'électricité; assurer la conformité des activités de distribution; télécommunications maritimes; utiliser des systèmes de distribution par radio pour des taxis; bonnes pratiques de laboratoire; diriger des opérations de distribution
14,89,Compétence,Compétence:48; Métier:37; OffreEmploi:3; GroupeBaseMEPC:1,VBScript; composants matériels; faire une présentation en direct; normes de sécurité des TIC; optimiser le choix d’une solution TIC; installer un pare-feu; Pascal (programmation informatique); Perl
15,82,Candidat,Candidat:70; Compétence:6; OffreEmploi:6,intégrer l’énergie biogaz dans des bâtiments; systèmes aliments-énergie intégrés; énergie de substitution; prévoir l’évolution des prix de l’énergie; conseiller des clients sur les besoins en énergie de produits; potentiel d’économies d’énergie des systèmes de changement de vitesse automatiques
