candidat_id,offre_id,titre,proxy_relevance,score_sem,score_hybride,taux_match,verdict_recrutement,rank_pgvector,rank_graph,rank_shift,relevance,binary_relevance,score_hybride_optuna,rank_optuna,top10_optuna
PPBZV2505170028860,OFFRE_009950_d9e7d5781e7d,Commercial H/F,0.46,0.5271,0.4595,0.0,vivier_a_developper,1,1,0,0.46,0,0.0,1,True
PPBZV2505170028860,OFFRE_009812_efb216206984,Business Developer,0.46,0.5092,0.4532,0.0,vivier_a_developper,2,2,0,0.46,0,0.0,2,True
PPBZV2505170028860,OFFRE_010267_b69696d658f0,DIRECTEUR COMMERCIAL (F/H) - DOUALA,0.505,0.4886,0.446,0.0,vivier_a_developper,4,3,1,0.505,1,0.0,3,True
PPBZV2505170028860,OFFRE_010012_d63db9b43788,DIRECTEUR COMMERCIAL (F/H) - DOUALA,0.505,0.4886,0.446,0.0,vivier_a_developper,5,4,1,0.505,1,0.0,4,True
PPBZV2505170028860,OFFRE_010313_0f67cf45444b,SUPERVISEUR COMMERCIAL (VAN TEAM COORDINATOR),0.505,0.4833,0.4442,0.0,vivier_a_developper,6,5,1,0.505,1,0.0,5,True
PPBZV2505170028860,OFFRE_010824_b354a45670d4,Chef d'Equipe,0.415,0.4734,0.4407,0.0,vivier_a_developper,7,6,1,0.415,0,0.0,6,True
PPBZV2505170028860,OFFRE_010094_144477a0f33f,Commercial Sédentaire Transport,0.46,0.4727,0.4404,0.0,vivier_a_developper,8,7,1,0.46,0,0.0,7,True
PPBZV2505170028860,OFFRE_009710_a04b66506c85,Commercial Transport,0.415,0.4651,0.4378,0.0,vivier_a_developper,9,8,1,0.415,0,0.0,8,True
PPBZV2505170028860,OFFRE_008561_fc7a817a2893,"Commercial Transport - Yaoundé, Cameroun",0.415,0.4651,0.4378,0.0,vivier_a_developper,10,9,1,0.415,0,0.0,9,True
PPBZV2505170028860,OFFRE_009750_63ca8c84a766,Commercial Transport,0.415,0.4651,0.4378,0.0,vivier_a_developper,11,10,1,0.415,0,0.0,10,True
PPPNR2510130047555,OFFRE_013332_cd2f018e3483,Stagiaire Commercial,0.433,0.4528,0.6435,1.0,postuler_avec_plan_de_montee_en_competence,11,1,10,0.433,1,1.0,1,True
PPPNR2510130047555,OFFRE_011694_9a481073e64d,Responsable Développemnt Commercial Après-Vente,0.433,0.409,0.6281,1.0,postuler_avec_plan_de_montee_en_competence,30,2,28,0.433,1,1.0,2,True
PPPNR2510130047555,OFFRE_008533_a2a392d976fd,Livreur à Domicile,0.3511,0.4183,0.3314,0.0,hors_cible_actuel,29,3,26,0.3511,1,0.0,3,True
PPPNR2510130047555,OFFRE_009210_3801ea7db319,Directeur Régional (H/F),0.2636,0.5537,0.2316,0.0,hors_cible_actuel,1,4,-3,0.2636,0,0.0,4,True
PPPNR2510130047555,OFFRE_009499_076b2c0d2ed8,Responsable Marketing,0.2227,0.5256,0.2242,0.0,hors_cible_actuel,2,5,-3,0.2227,0,0.0,5,True
PPPNR2510130047555,OFFRE_009200_9ae76148861a,Directeur Bureau Direct,0.2227,0.5117,0.2206,0.0,hors_cible_actuel,3,6,-3,0.2227,0,0.0,6,True
PPPNR2510130047555,OFFRE_010408_2230bfe76551,Responsable Régional des Ventes pour la Zone I (H/F),0.2636,0.5071,0.2194,0.0,hors_cible_actuel,4,7,-3,0.2636,0,0.0,7,True
PPPNR2510130047555,OFFRE_010822_850c71a69fac,Responsable Marketing (H/F),0.2227,0.488,0.2143,0.0,hors_cible_actuel,5,8,-3,0.2227,0,0.0,8,True
PPPNR2510130047555,OFFRE_008550_efb073343211,Responsable Commercial - Douala - Cameroun,0.3045,0.4817,0.2127,0.0,hors_cible_actuel,6,9,-3,0.3045,0,0.0,9,True
PPPNR2510130047555,OFFRE_010423_4e44f3758f04,Responsable Marketing (H/F),0.2227,0.4817,0.2127,0.0,hors_cible_actuel,7,10,-3,0.2227,0,0.0,10,True
PPPNR2505260029765,OFFRE_013147_cc53dcc55f35,Ingenieur Electrotechnicien,0.5125,0.5188,0.6666,1.0,postuler_avec_plan_de_montee_en_competence,7,1,6,0.5125,1,1.0,1,True
PPPNR2505260029765,OFFRE_012132_44b6284e3adc,Electrotechnicien,0.5125,0.4817,0.6536,1.0,postuler_avec_plan_de_montee_en_competence,15,2,13,0.5125,1,1.0,2,True
PPPNR2505260029765,OFFRE_003846_53cbc29f4408,ÉLECTROTECHNICIENS,0.475,0.5493,0.4673,0.0,vivier_a_developper,5,3,2,0.475,0,0.0,3,True
PPPNR2505260029765,OFFRE_002918_8b6791a98fce,TECHNICIEN MAINTENANCE INDUSTRIELLE,0.4,0.5237,0.4583,0.0,vivier_a_developper,6,4,2,0.4,0,0.0,4,True
PPPNR2505260029765,OFFRE_007874_cb5a55166096,Technicien De Maintenance/Polyvalent Paysage Nord Cameroun,0.4,0.4988,0.4496,0.0,vivier_a_developper,9,5,4,0.4,0,0.0,5,True
PPPNR2505260029765,OFFRE_009272_5924fe06a9e0,Technicien d'Énergies Renouvelables,0.425,0.4897,0.4464,0.0,vivier_a_developper,13,6,7,0.425,0,0.0,6,True
PPPNR2505260029765,OFFRE_010828_ecbe4a00f97a,TECHNICIEN QUOTIDIEN - UPSTREAM,0.425,0.4707,0.4397,0.0,vivier_a_developper,18,7,11,0.425,0,0.0,7,True
PPPNR2505260029765,OFFRE_010804_2b409e399f87,TECHNICIEN QUOTIDIEN - UPSTREAM,0.425,0.4707,0.4397,0.0,vivier_a_developper,19,8,11,0.425,0,0.0,8,True
PPPNR2505260029765,OFFRE_009564_740ed37a0638,Inspecteur / Formateur Mécanique Levage (Grues Offshore) H/F - Douala,0.5,0.4599,0.436,0.0,vivier_a_developper,21,9,12,0.5,1,0.0,9,True
